Gender,Customer_Type,Type_of_Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Departure_Delay,satisfaction,Arrival_Delay
1,1,0,2,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,0,1,0
0,0,0,0,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0,0,0
0,1,0,2,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,0,1,0
1,1,0,0,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,0,1,0
0,1,0,0,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,0,1,0
1,1,0,2,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,0,1,0
1,1,0,2,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,1,1,1
0,1,0,0,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,0,1,0
1,1,0,2,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,0,1,0
1,1,0,0,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,0,1,0
1,1,0,2,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,0,0,0
1,1,0,2,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,0,1,0
1,1,0,2,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,1,1,1
1,1,0,2,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,0,1,0
0,1,1,0,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,0,0,0
1,1,0,0,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,0,0,0
0,1,1,1,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,0,1,0
1,1,1,0,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,0,0
1,1,0,2,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,0,1,0
0,1,0,2,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,0,1,1
0,1,1,0,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,0,0,0
0,1,1,0,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,0,0,0
0,1,0,2,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,0,1,0
1,0,0,0,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,0,0,0
0,1,1,0,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,0,0,0
0,1,0,2,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,0,1,0
1,1,0,0,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,0,1,0
0,1,0,2,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,0,1,0
0,1,0,0,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,0,0,0
0,1,1,2,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,0,0,0
1,1,0,0,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,0,1,0
0,0,0,0,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,0,0,0
0,1,1,0,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,0,0,1
1,1,0,0,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,0,1,0
0,1,1,0,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,1,0,1
1,1,0,2,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,0,1,0
1,1,0,2,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,1,1,1
1,0,0,2,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,0,0,0
1,1,1,0,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,0,0,0
1,0,0,2,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,0,0,0
0,0,0,0,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,0,1,0
0,1,0,2,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,1,0,1
1,1,0,2,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,0,1,0
1,1,0,1,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,1,0,1
1,1,0,0,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,1,1,1
1,1,0,2,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,0,1,0
1,1,1,0,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,0,0,0
1,1,0,2,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,0,1,0
1,1,1,0,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,0,0,0
1,1,1,1,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,0,0,0
0,0,0,2,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,0,1,0
1,1,0,0,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,0,1,0
0,1,0,0,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0,0,0,0,0
1,1,0,2,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0,0,1,0
0,0,0,2,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30,46,0,0,1
0,1,0,2,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0,0,0,1,0
1,1,1,0,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0,0,0,0,0
1,1,1,0,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3,4,0,0,0
0,0,0,0,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0,0,0,0,0
0,1,0,2,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,66,57,1,1,1
1,1,1,0,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0,0,0,0,0
1,1,1,0,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,0,0,0
0,1,0,0,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,0,1,0
1,1,0,2,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,0,1,0
1,1,1,1,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,0,0,0
0,1,0,2,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,0,0,0
1,1,1,0,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,0,0,0
1,1,0,2,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,1,1,1
1,1,0,2,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,0,1,0
1,1,1,2,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,0,0,0
0,1,0,2,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,0,0,0
1,1,1,2,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,0,0,0
0,1,0,2,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,0,1,0
1,0,0,1,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,0,0,0
1,1,1,0,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,0,0,0
1,0,0,0,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,0,0,0
1,1,1,0,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,0,0,0
0,1,0,1,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,0,0,0
0,0,0,0,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,0,0,0
1,1,0,2,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,0,1,0
1,1,1,0,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,0,0,0
0,1,0,2,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,0,1,1
0,1,0,2,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,0,0,0
0,0,0,0,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,0,0,0
1,1,1,2,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,0,0,0
1,0,0,0,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,0,0,0
1,1,0,2,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,0,1,0
1,1,1,0,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,0,0,0
1,1,0,0,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,0,0,0
0,1,0,2,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,0,1,0
1,0,0,0,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,0,0,0
0,1,0,2,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,0,1,0
1,1,0,0,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,1,0,1
1,1,0,2,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,0,1,0
1,1,1,1,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,0,0,0
1,1,1,0,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,0,0,0
0,1,0,2,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,0,1,0
1,1,1,0,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,0,0,0
1,0,0,2,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,0,0,0
